(3,UP,1.0)
(9,UP,7.0)
(6,DOWN,13.5)
(5,DOWN,16.5)
(6,UP,18.5)
(7,UP,20.0)
(6,DOWN,24.5)
(6,STILL,26.5)
(5,DOWN,27.0)
(10,UP,34.5)
(10,STILL,37.0)
(10,STILL,41.0)
(8,DOWN,47.0)
(3,DOWN,50.5)
(1,DOWN,57.0)
(10,UP,64.5)
(10,STILL,66.5)
(3,DOWN,71.5)
(4,UP,74.5)
(7,UP,81.5)
(5,DOWN,87.0)
(3,DOWN,89.0)
(9,UP,99.0)
(1,DOWN,104.0)
(8,UP,108.5)
(7,DOWN,110.0)
(3,DOWN,113.0)
(4,UP,114.5)
(5,UP,122.5)
(10,UP,126.0)
(8,DOWN,129.0)
(1,DOWN,133.5)
(8,UP,138.0)
(3,DOWN,141.5)
(8,UP,145.0)
(10,UP,147.0)
(2,DOWN,152.0)
(1,DOWN,153.5)
(6,UP,157.0)
(5,DOWN,158.5)
(5,STILL,160.5)
(9,UP,162.5)
(5,DOWN,165.5)
(3,DOWN,167.5)
(9,UP,171.5)
(9,STILL,173.5)
(4,DOWN,182.5)
(2,DOWN,185.0)
(1,DOWN,192.5)
(5,UP,195.5)
(3,DOWN,197.5)
(8,UP,201.0)
(9,UP,202.5)
(4,DOWN,208.5)
(3,DOWN,210.5)
(8,UP,214.5)
(5,DOWN,219.5)
(7,UP,221.5)
(1,DOWN,225.5)
(3,UP,227.5)
(6,UP,230.0)
(7,UP,231.5)
(9,UP,233.5)
(7,DOWN,235.5)
(10,UP,238.0)
(3,DOWN,242.5)
(1,DOWN,244.5)
(10,UP,250.0)
(9,DOWN,251.5)
(3,DOWN,255.5)
(8,UP,259.0)
(10,UP,261.0)
(1,DOWN,266.5)
(7,UP,270.5)
(5,DOWN,272.5)
(7,UP,281.0)
(4,DOWN,283.5)
(9,UP,288.5)
(3,DOWN,292.5)
(7,UP,295.5)
(10,UP,298.0)
(1,DOWN,303.5)
(7,UP,307.5)
(2,DOWN,311.0)
(5,UP,313.5)
(8,UP,316.0)
(3,DOWN,319.5)
(5,UP,321.5)
(4,DOWN,324.5)
(10,UP,331.0)
(3,DOWN,335.5)
(7,UP,338.5)
(2,DOWN,342.0)
(8,UP,346.0)
(7,DOWN,347.5)
(8,UP,349.0)
(1,DOWN,357.5)
(9,UP,366.0)
(2,DOWN,370.5)
(10,UP,375.5)
(4,DOWN,379.5)
(2,DOWN,381.5)
(9,UP,391.5)
(10,UP,393.0)
(8,DOWN,397.0)
(1,DOWN,401.5)
(2,UP,403.0)
(5,UP,405.5)
(1,DOWN,414.0)
(7,UP,418.0)
(7,STILL,420.0)
(1,DOWN,423.0)
(6,UP,428.5)
(6,STILL,435.0)
(7,UP,442.5)
(7,STILL,447.0)
(9,UP,451.0)
(8,DOWN,452.5)
(1,DOWN,461.5)
(2,UP,463.0)
(3,UP,464.5)
(2,DOWN,466.5)
(3,UP,474.5)
(1,DOWN,476.5)
(8,UP,481.0)
(1,DOWN,489.5)
(8,UP,494.0)
(5,DOWN,496.5)
(10,UP,500.5)
(4,DOWN,504.5)
(8,UP,507.5)
(6,DOWN,509.5)
(5,DOWN,511.0)
(10,UP,514.5)
(1,DOWN,520.0)
(6,UP,523.5)
(5,DOWN,525.0)
(8,UP,529.5)
(2,DOWN,537.0)
(4,UP,539.0)
(9,UP,542.5)
(2,DOWN,547.0)
(9,UP,551.5)
(7,DOWN,553.5)
(6,DOWN,560.5)
(1,DOWN,564.0)
(4,UP,566.5)
(5,UP,568.5)
(4,DOWN,570.0)
(6,UP,572.0)
(6,STILL,575.0)
(6,STILL,583.0)
(1,DOWN,585.5)
(9,UP,590.5)
(10,UP,592.0)
(7,DOWN,595.5)
(7,STILL,597.5)
(5,DOWN,603.0)
(2,DOWN,605.5)
(6,UP,608.5)
(6,STILL,610.5)
(10,UP,614.0)
(3,DOWN,621.5)
(1,DOWN,625.0)
(5,UP,632.0)
(5,STILL,635.0)
(8,UP,639.5)
(6,DOWN,647.0)
(1,DOWN,650.5)
(7,UP,654.5)
(9,UP,656.5)
(9,STILL,663.0)
(5,DOWN,666.0)
(8,UP,675.5)
(4,DOWN,682.0)
(8,UP,685.0)
(7,DOWN,686.5)
(5,DOWN,691.0)
(2,DOWN,699.5)
(5,UP,705.5)
(1,DOWN,714.0)
(2,UP,718.5)
(6,UP,726.0)
(1,DOWN,734.5)
(4,UP,737.5)
(3,DOWN,740.5)
(1,DOWN,742.5)
(2,UP,746.5)
(6,UP,752.0)
(1,DOWN,760.5)
(2,UP,762.0)
(6,UP,766.0)
(2,DOWN,772.0)
(6,UP,780.0)
(5,DOWN,781.5)
(6,UP,786.5)
(3,DOWN,789.5)
(4,UP,792.5)
(9,UP,796.5)
(4,DOWN,800.0)
(1,DOWN,803.5)
(2,UP,805.0)
(6,UP,808.0)
(2,DOWN,811.0)
(9,UP,815.5)
(3,DOWN,821.0)
(7,UP,828.0)
(5,DOWN,835.0)
(6,UP,836.5)
(3,DOWN,839.0)
(9,UP,843.0)
(3,DOWN,847.0)
(5,UP,853.0)
(8,UP,861.5)
(6,DOWN,863.5)
(7,UP,866.5)
(6,DOWN,874.5)
(2,DOWN,882.0)
(7,UP,885.5)
(8,UP,887.0)
(7,DOWN,888.5)
(6,DOWN,890.0)
(10,UP,893.0)
(4,DOWN,899.0)
(6,UP,901.0)
(3,DOWN,903.5)
(7,UP,906.5)
(8,UP,908.5)
