(10,UP,4.5)
(5,DOWN,8.0)
(3,DOWN,10.0)
(5,UP,12.0)
(8,UP,14.5)
(5,DOWN,17.0)
(6,UP,18.5)
(9,UP,21.0)
(1,DOWN,26.0)
(7,UP,30.0)
(3,DOWN,33.0)
(7,UP,36.0)
(1,DOWN,40.0)
(7,UP,44.0)
(6,DOWN,45.5)
(8,UP,47.5)
(2,DOWN,51.5)
(9,UP,56.0)
(4,DOWN,59.5)
(8,UP,62.5)
(2,DOWN,66.5)
(4,UP,68.5)
(9,UP,72.0)
(10,UP,73.5)
(6,DOWN,76.5)
(3,DOWN,79.0)
(2,DOWN,80.5)
(4,UP,82.5)
(10,UP,86.5)
(3,DOWN,91.0)
(5,UP,93.0)
(8,UP,95.5)
(5,DOWN,98.0)
(5,STILL,100.0)
(9,UP,102.0)
(6,DOWN,104.5)
(1,DOWN,108.0)
(7,UP,112.0)
(3,DOWN,115.0)
(1,DOWN,117.0)
(7,UP,121.0)
(6,DOWN,122.5)
(8,UP,124.5)
(7,DOWN,126.0)
(2,DOWN,129.5)
(9,UP,134.0)
(8,DOWN,135.5)
(4,DOWN,138.5)
(2,DOWN,140.5)
(4,UP,142.5)
(10,UP,146.5)
(9,DOWN,148.0)
(6,DOWN,150.5)
(2,DOWN,153.5)
(3,UP,155.0)
(4,UP,156.5)
(10,UP,160.5)
(3,DOWN,165.0)
(5,UP,167.0)
(8,UP,169.5)
(5,DOWN,172.0)
(5,STILL,174.0)
(6,UP,174.5)
(1,DOWN,178.0)
(9,UP,183.0)
(7,DOWN,185.0)
(1,DOWN,189.0)
(7,UP,193.0)
(3,DOWN,196.0)
(6,UP,198.5)
(8,UP,200.5)
(7,DOWN,202.0)
(2,DOWN,205.5)
(9,UP,210.0)
(8,DOWN,211.5)
(2,DOWN,215.5)
(4,UP,217.5)
(4,STILL,219.5)
(10,UP,222.5)
(9,DOWN,224.0)
(6,DOWN,226.5)
(2,DOWN,229.5)
(3,UP,231.0)
(4,UP,232.5)
(10,UP,236.5)
(3,DOWN,241.0)
(5,UP,243.0)
(8,UP,245.5)
(6,DOWN,247.5)
(5,DOWN,249.0)
(5,STILL,251.0)
(1,DOWN,253.0)
(7,UP,257.0)
(9,UP,259.0)
(1,DOWN,264.0)
(7,UP,268.0)
(6,DOWN,269.5)
(3,DOWN,272.0)
(7,UP,275.0)
(8,UP,276.5)
(2,DOWN,280.5)
(9,UP,285.0)
(8,DOWN,286.5)
(2,DOWN,290.5)
(4,UP,292.5)
(4,STILL,294.5)
(10,UP,297.5)
(9,DOWN,299.0)
(6,DOWN,301.5)
(2,DOWN,304.5)
(4,UP,306.5)
(3,DOWN,308.0)
(10,UP,312.5)
(3,DOWN,317.0)
(5,UP,319.0)
(8,UP,321.5)
(6,DOWN,323.5)
(5,DOWN,325.0)
(5,STILL,327.0)
(1,DOWN,329.0)
(7,UP,333.0)
(9,UP,335.0)
(1,DOWN,340.0)
(7,UP,344.0)
(6,DOWN,345.5)
(7,UP,347.0)
(8,UP,348.5)
(3,DOWN,352.0)
(2,DOWN,353.5)
(9,UP,358.0)
(8,DOWN,359.5)
(2,DOWN,363.5)
(4,UP,365.5)
(4,STILL,367.5)
(6,UP,368.5)
(10,UP,371.5)
(9,DOWN,373.0)
(2,DOWN,377.5)
(4,UP,379.5)
(3,DOWN,381.0)
(10,UP,385.5)
(3,DOWN,390.0)
(5,UP,392.0)
(8,UP,394.5)
(6,DOWN,396.5)
(1,DOWN,400.0)
(5,UP,403.0)
(5,STILL,405.0)
(7,UP,406.0)
(9,UP,408.0)
(1,DOWN,413.0)
(6,UP,416.5)
(7,UP,418.0)
(7,STILL,420.0)
(8,UP,420.5)
(3,DOWN,424.0)
(9,UP,428.0)
